# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
174 58 4296 25 0 0 0x1 0 0 0 0x0 7 7 85 0x1 12 12 34 0x0 
176 182 4277 30 0 0 0x1 0 0 0 0x0 4 4 38 0x0 20 20 85 0x0 
178 95 4296 28 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 87 0x0 
180 189 4256 20 0 0 0x1 0 0 0 0x0 2 2 22 0x1 19 19 81 0x1 
182 99 4286 28 0 0 0x1 0 0 0 0x0 6 6 66 0x0 20 20 83 0x0 
184 82 4295 22 0 0 0x1 0 0 0 0x0 6 6 92 0x1 21 21 88 0x0 
186 67 4295 17 0 0 0x1 0 0 0 0x0 4 4 37 0x0 21 21 86 0x0 
188 53 4301 29 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
190 261 4261 19 0 0 0x1 0 0 0 0x0 4 4 63 0x1 19 19 84 0x1 
192 53 4298 31 0 0 0x1 0 0 0 0x0 4 4 37 0x0 20 20 80 0x0 
194 53 4300 27 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 84 0x0 
196 177 4262 13 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 82 0x0 
198 53 4299 36 0 0 0x1 0 0 0 0x0 6 6 66 0x0 20 20 83 0x0 
200 157 4281 36 0 0 0x1 0 0 0 0x0 4 4 49 0x0 20 20 84 0x0 
202 52 4293 31 0 0 0x1 0 0 0 0x0 4 4 52 0x0 19 19 85 0x1 
204 103 4288 29 0 0 0x1 0 0 0 0x0 6 6 79 0x0 14 14 45 0x1 
206 52 4295 14 0 0 0x1 0 0 0 0x0 6 6 84 0x0 9 9 18 0x1 
208 185 4272 28 0 0 0x1 0 0 0 0x0 3 3 51 0x1 11 11 37 0x0 
210 56 4289 27 0 0 0x1 0 0 0 0x0 5 5 49 0x0 20 20 83 0x0 
212 152 4267 37 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 87 0x0 
214 53 4298 28 0 0 0x1 0 0 0 0x0 6 6 63 0x0 19 19 87 0x1 
216 53 4298 14 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 81 0x0 
218 121 4280 31 0 0 0x1 0 0 0 0x0 3 3 39 0x0 21 21 82 0x0 
220 53 4293 26 0 0 0x1 0 0 0 0x0 5 5 62 0x0 20 20 86 0x0 
222 197 4275 28 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 84 0x0 
224 61 4295 32 0 0 0x1 0 0 0 0x0 3 3 40 0x0 19 19 81 0x0 
226 53 4294 12 0 0 0x1 0 0 0 0x0 7 7 97 0x0 19 19 78 0x0 
228 285 4257 31 0 0 0x1 0 0 0 0x0 4 4 70 0x1 20 20 78 0x0 
230 53 4293 23 0 0 0x1 0 0 0 0x0 3 3 33 0x1 20 20 86 0x0 
232 71 4285 33 0 0 0x1 0 0 0 0x0 7 7 79 0x0 19 19 72 0x0 
234 57 4283 27 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 85 0x0 
236 53 4298 27 0 0 0x1 0 0 0 0x0 6 6 92 0x1 19 19 80 0x0 
238 67 4294 36 0 0 0x1 0 0 0 0x0 8 8 73 0x0 13 13 43 0x1 
240 119 4269 28 0 0 0x1 0 0 0 0x0 2 2 22 0x0 9 9 18 0x1 
242 63 4294 19 0 0 0x1 0 0 0 0x0 7 7 93 0x0 13 13 44 0x0 
244 160 4262 9 0 0 0x1 0 0 0 0x0 4 4 65 0x1 19 19 80 0x0 
246 108 4295 19 0 0 0x1 0 0 0 0x0 5 5 52 0x0 21 21 85 0x0 
248 66 4287 26 0 0 0x1 0 0 0 0x0 7 7 92 0x0 20 20 84 0x0 
250 130 4264 19 0 0 0x1 0 0 0 0x0 3 3 39 0x0 20 20 85 0x0 
252 95 4289 30 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
254 179 4275 28 0 0 0x1 0 0 0 0x0 7 7 97 0x0 19 19 83 0x1 
256 220 4253 28 0 0 0x1 0 0 0 0x0 2 2 38 0x1 20 20 82 0x0 
258 63 4292 25 0 0 0x1 0 0 0 0x0 5 5 52 0x0 21 21 85 0x0 
260 179 4257 23 0 0 0x1 0 0 0 0x0 3 3 53 0x1 18 18 74 0x0 
262 52 4295 30 0 0 0x1 0 0 0 0x0 6 6 56 0x0 20 20 85 0x0 
264 104 4281 32 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
266 53 4288 28 0 0 0x1 0 0 0 0x0 4 4 51 0x0 19 19 86 0x1 
268 172 4274 25 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 80 0x0 
270 240 4260 36 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 80 0x0 
272 149 4268 23 0 0 0x1 0 0 0 0x0 5 5 46 0x0 12 12 38 0x0 
274 175 4266 12 0 0 0x1 0 0 0 0x0 6 6 79 0x0 6 6 17 0x1 
276 227 4260 23 0 0 0x1 0 0 0 0x0 3 3 55 0x1 13 13 47 0x1 
278 53 4293 31 0 0 0x1 0 0 0 0x0 7 7 77 0x0 20 20 81 0x0 
280 148 4267 10 0 0 0x1 0 0 0 0x0 4 4 67 0x1 20 20 85 0x0 
282 52 4294 31 0 0 0x1 0 0 0 0x0 3 3 32 0x1 20 20 81 0x0 
284 92 4293 22 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 84 0x0 
286 169 4258 21 0 0 0x1 0 0 0 0x0 4 4 66 0x1 19 19 87 0x1 
288 57 4292 36 0 0 0x1 0 0 0 0x0 5 5 65 0x1 21 21 81 0x0 
290 160 4259 26 0 0 0x1 0 0 0 0x0 5 5 69 0x1 20 20 86 0x0 
292 153 4252 32 0 0 0x1 0 0 0 0x0 2 2 24 0x1 20 20 85 0x0 
294 53 4291 23 0 0 0x1 0 0 0 0x0 5 5 54 0x1 20 20 86 0x0 
296 81 4288 20 0 0 0x1 0 0 0 0x0 7 7 84 0x0 20 20 86 0x0 
298 62 4289 8 0 0 0x1 0 0 0 0x0 3 3 38 0x0 19 19 85 0x1 
300 62 4290 16 0 0 0x1 0 0 0 0x0 6 6 98 0x1 20 20 80 0x0 
302 204 4262 32 0 0 0x1 0 0 0 0x0 5 5 70 0x1 20 20 86 0x0 
304 81 4285 26 0 0 0x1 0 0 0 0x0 4 4 42 0x0 20 20 86 0x1 
306 96 4276 30 0 0 0x1 0 0 0 0x0 6 6 94 0x1 13 13 38 0x1 
308 191 4246 30 0 0 0x1 0 0 0 0x0 3 3 41 0x1 7 7 17 0x1 
310 156 4263 20 0 0 0x1 0 0 0 0x0 5 5 53 0x0 12 12 44 0x1 
312 52 4292 33 0 0 0x1 0 0 0 0x0 7 7 92 0x0 14 14 50 0x0 
314 224 4258 11 0 0 0x1 0 0 0 0x0 3 3 39 0x0 20 19 82 0x0 
316 53 4292 32 0 0 0x1 0 0 0 0x0 6 6 79 0x0 15 15 54 0x0 
318 282 4236 30 0 0 0x1 0 0 0 0x0 5 5 80 0x1 20 20 85 0x0 
320 58 4289 28 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 84 0x1 
322 110 4282 20 0 0 0x1 0 0 0 0x0 7 7 73 0x0 20 20 79 0x0 
324 158 4260 17 0 0 0x1 0 0 0 0x0 4 4 53 0x0 20 20 85 0x0 
326 66 4290 29 0 0 0x1 0 0 0 0x0 4 4 49 0x0 20 20 87 0x0 
328 142 4278 30 0 0 0x1 0 0 0 0x0 6 6 79 0x0 21 21 82 0x0 
330 220 4249 26 0 0 0x1 0 0 0 0x0 2 2 38 0x1 20 20 86 0x0 
332 174 4264 25 0 0 0x1 0 0 0 0x0 4 4 31 0x0 19 19 87 0x1 
334 151 4266 30 0 0 0x1 0 0 0 0x0 5 5 80 0x1 21 21 81 0x0 
336 81 4289 27 0 0 0x1 0 0 0 0x0 6 6 42 0x0 20 20 85 0x0 
338 55 4291 35 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 84 0x0 
340 160 4250 25 0 0 0x1 0 0 0 0x0 3 3 53 0x1 12 12 35 0x1 
342 53 4285 16 0 0 0x1 0 0 0 0x0 6 6 57 0x0 9 9 19 0x1 
344 62 4287 16 0 0 0x1 0 0 0 0x0 6 6 80 0x0 14 14 45 0x0 
346 249 4242 26 0 0 0x1 0 0 0 0x0 2 2 38 0x1 21 21 84 0x0 
348 63 4286 14 0 0 0x1 0 0 0 0x0 6 6 66 0x0 20 20 87 0x0 
350 204 4265 10 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 83 0x0 
