# uptime_s cap_pct v_uV cur_uA temp_dC bl_power status
30393.42 97 4217589 -58288 270 4 Discharging
30403.49 97 4178078 -280304 270 4 Discharging
30413.58 97 4213113 -82397 270 4 Discharging
30423.64 97 4202018 -145111 270 4 Discharging
30433.71 97 4214280 -62255 271 4 Discharging
30443.80 97 4202213 -83313 270 4 Discharging
30453.86 97 4183722 -187378 271 4 Discharging
30463.94 97 4217200 -54779 270 4 Discharging
30474.01 97 4200850 -153198 271 4 Discharging
30484.08 97 4210388 -81939 270 4 Discharging
30494.15 97 4217978 -52795 271 4 Discharging
30504.21 97 4207468 -77972 270 4 Discharging
30514.30 97 4176131 -199127 270 4 Discharging
30524.37 97 4181971 -189056 271 4 Discharging
30534.44 97 4177494 -187530 271 4 Discharging
30544.52 97 4194817 -176086 271 4 Discharging
30554.59 97 4198904 -134887 270 4 Discharging
30564.66 97 4217395 -53863 270 4 Discharging
30574.73 97 4199877 -106811 270 4 Discharging
30584.82 97 4183528 -121612 270 4 Discharging
30594.89 97 4193260 -215759 271 4 Discharging
30604.95 97 4214475 -53405 271 4 Discharging
30615.03 97 4194233 -180816 270 4 Discharging
30625.10 97 4211945 -63171 270 4 Discharging
30635.18 97 4196374 -128021 271 4 Discharging
30645.25 97 4206495 -91400 270 4 Discharging
30655.33 97 4177883 -153808 271 4 Discharging
30665.40 97 4215059 -54016 271 4 Discharging
30675.48 97 4199488 -101776 270 4 Discharging
30685.57 97 4214086 -84686 271 4 Discharging
30695.64 97 4214670 -54168 270 4 Discharging
30705.72 97 4214086 -62561 270 4 Discharging
30715.79 97 4203770 -131836 271 4 Discharging
30725.86 97 4210971 -67749 271 4 Discharging
30735.93 96 4180024 -148620 271 4 Discharging
30746.00 96 4167762 -285339 271 4 Discharging
30756.08 96 4180024 -180511 271 4 Discharging
30766.15 96 4210777 -71868 271 4 Discharging
30776.23 96 4211166 -53253 270 4 Discharging
30786.30 96 4195984 -125885 270 4 Discharging
30796.37 96 4190729 -157165 270 4 Discharging
30806.44 96 4174380 -215912 271 4 Discharging
30816.54 96 4164259 -218353 271 4 Discharging
30826.61 96 4183333 -189819 271 4 Discharging
30836.69 96 4213113 -53710 270 4 Discharging
30846.78 96 4203186 -101165 270 4 Discharging
30856.87 96 4180413 -175476 271 4 Discharging
30866.95 96 4199293 -108642 271 4 Discharging
30877.02 96 4199293 -53710 271 4 Discharging
30887.10 96 4171460 -160064 271 4 Discharging
30897.18 96 4209025 -64697 271 4 Discharging
30907.27 96 4198320 -99182 271 4 Discharging
30917.55 96 4197542 -82855 271 4 Discharging
30927.62 96 4189172 -191192 271 4 Discharging
30937.69 96 4208247 -53558 271 4 Discharging
30947.77 96 4188004 -77362 271 4 Discharging
30957.84 96 4174574 -281830 271 4 Discharging
30967.91 96 4183138 -187225 271 4 Discharging
30977.99 96 4207663 -53863 271 4 Discharging
30988.07 96 4192870 -106811 271 4 Discharging
30998.15 96 4207857 -53863 271 4 Discharging
31008.22 96 4184890 -99792 271 4 Discharging
31018.30 96 4177883 -148773 271 4 Discharging
31028.37 96 4197347 -70190 272 4 Discharging
31038.44 96 4180997 -200042 271 4 Discharging
31048.52 96 4199293 -62713 271 4 Discharging
31058.59 96 4205716 -85907 271 4 Discharging
31068.66 96 4206884 -52795 271 4 Discharging
31078.73 96 4204743 -53253 270 4 Discharging
31088.81 96 4151218 -289459 271 4 Discharging
31098.87 96 4199488 -82702 270 4 Discharging
31108.94 96 4186447 -157775 271 4 Discharging
31119.04 96 4195984 -114898 271 4 Discharging
31129.16 96 4191313 -108795 271 4 Discharging
31139.23 96 4203186 -63171 271 4 Discharging
31149.30 96 4194038 -148162 270 4 Discharging
31159.39 96 4158614 -247650 271 4 Discharging
31169.46 96 4178078 -176696 271 4 Discharging
31179.54 96 4184501 -146942 270 4 Discharging
31189.65 96 4202991 -99029 271 4 Discharging
31199.72 96 4198904 -62408 271 4 Discharging
31209.79 96 4199488 -64086 271 4 Discharging
31219.86 96 4195206 -54168 271 4 Discharging
31229.92 96 4154721 -216217 271 4 Discharging
31239.98 96 4176326 -201568 271 4 Discharging
31250.05 96 4205327 -53558 271 4 Discharging
31260.13 96 4204354 -53100 271 4 Discharging
31270.21 96 4203575 -53863 271 4 Discharging
31280.28 96 4196374 -54626 271 4 Discharging
31290.35 96 4199293 -53253 271 4 Discharging
31300.42 96 4167957 -171051 271 4 Discharging
31310.48 96 4151996 -222015 271 4 Discharging
31320.58 96 4203770 -53405 270 4 Discharging
31330.66 96 4145963 -220489 271 4 Discharging
31340.72 96 4198515 -173492 270 4 Discharging
31350.80 96 4199683 -54626 271 4 Discharging
31360.91 96 4200072 -52948 270 4 Discharging
31370.99 96 4194038 -244293 271 4 Discharging
31381.06 96 4168930 -149231 270 4 Discharging
31391.15 96 4148688 -280151 271 4 Discharging
31401.23 96 4186447 -106811 271 4 Discharging
31411.34 96 4191702 -109100 270 4 Discharging
31421.42 96 4198904 -53100 270 4 Discharging
31431.48 96 4189951 -113983 270 4 Discharging
31441.55 96 4187226 -82855 271 4 Discharging
31451.65 96 4159198 -198669 270 4 Discharging
31461.72 96 4200850 -53558 271 4 Discharging
31471.79 96 4198515 -53100 270 4 Discharging
31481.87 96 4184890 -157928 270 4 Discharging
31491.95 96 4199683 -53863 271 4 Discharging
31502.02 96 4151023 -99792 271 4 Discharging
31512.10 96 4150634 -260009 271 4 Discharging
31522.19 96 4166205 -158538 271 4 Discharging
31532.26 96 4193260 -66680 271 4 Discharging
31542.33 96 4197736 -54473 270 4 Discharging
31552.43 96 4188004 -120544 271 4 Discharging
31562.49 96 4192481 -63629 270 4 Discharging
31572.56 96 4177299 -114135 271 4 Discharging
31582.63 96 4172433 -174713 270 4 Discharging
31592.71 96 4167373 -198974 270 4 Discharging
31602.78 96 4164453 -222015 271 4 Discharging
31612.84 96 4190729 -96283 270 4 Discharging
31622.93 96 4195011 -145111 270 4 Discharging
31633.01 96 4190535 -106048 270 4 Discharging
31643.10 96 4177299 -107269 270 4 Discharging
31653.17 96 4171849 -135040 270 4 Discharging
31663.24 96 4165426 -201568 270 4 Discharging
31673.31 96 4138956 -236816 272 4 Discharging
31683.39 96 4185669 -54168 270 4 Discharging
31693.46 96 4171071 -143127 271 4 Discharging
31703.53 95 4181192 -142974 270 4 Discharging
31713.61 95 4189951 -69732 271 4 Discharging
31723.69 95 4170292 -197448 270 4 Discharging
31733.77 95 4157252 -202331 271 4 Discharging
31743.84 95 4181971 -83007 271 4 Discharging
31753.92 95 4195011 -53558 270 4 Discharging
31763.99 95 4194817 -53405 270 4 Discharging
31774.06 95 4192481 -53100 270 4 Discharging
31784.14 95 4182749 -121460 270 4 Discharging
31794.22 95 4166400 -187683 271 4 Discharging
31804.29 95 4155889 -179138 270 4 Discharging
31814.36 95 4178662 -120849 270 4 Discharging
31824.44 95 4195206 -53100 270 4 Discharging
31834.52 95 4192676 -54168 270 4 Discharging
31844.59 95 4187420 -63934 271 4 Discharging
31854.66 95 4164259 -198669 270 4 Discharging
31864.73 95 4191313 -54016 270 4 Discharging
31874.80 95 4160755 -159454 270 4 Discharging
31884.87 95 4190924 -53710 270 4 Discharging
31894.95 95 4173796 -129242 270 4 Discharging
31905.04 95 4191119 -54016 270 4 Discharging
31915.10 95 4176715 -99792 270 4 Discharging
31925.18 95 4166594 -174713 270 4 Discharging
31935.25 95 4188199 -56457 270 4 Discharging
31945.31 95 4149855 -224914 271 4 Discharging
31955.37 95 4161534 -169525 270 4 Discharging
31965.44 95 4190729 -52948 270 4 Discharging
31975.51 95 4190924 -53100 270 4 Discharging
31985.59 95 4175158 -106353 270 4 Discharging
31995.66 95 4179830 -73852 270 4 Discharging
32005.73 95 4170098 -147400 270 4 Discharging
32015.80 95 4159393 -159149 270 4 Discharging
32025.87 95 4148493 -251465 271 4 Discharging
32035.94 95 4190145 -53558 270 4 Discharging
32046.01 95 4188588 -71868 270 4 Discharging
32056.09 95 4170487 -108337 271 4 Discharging
32066.16 95 4182360 -53558 270 4 Discharging
32076.21 95 4176910 -156555 270 4 Discharging
32086.30 95 4182944 -54931 270 4 Discharging
32096.38 95 4149661 -187988 270 4 Discharging
32106.45 95 4162896 -193939 270 4 Discharging
32116.65 95 4182360 -101318 270 4 Discharging
32126.72 95 4139540 -260620 271 4 Discharging
32136.79 95 4151607 -203552 270 4 Discharging
32146.86 95 4187226 -53863 270 4 Discharging
32156.94 95 4175742 -53863 270 4 Discharging
32167.01 95 4151607 -176544 271 4 Discharging
32177.07 95 4186058 -54473 271 4 Discharging
32187.15 95 4184112 -54321 270 4 Discharging
32197.23 95 4149077 -112609 270 4 Discharging
32207.31 95 4186837 -57678 270 4 Discharging
32217.38 95 4186058 -53100 270 4 Discharging
32227.44 95 4166400 -115509 270 4 Discharging
32237.52 95 4143627 -188293 271 4 Discharging
32247.59 95 4151218 -175171 271 4 Discharging
32257.66 95 4178272 -63171 270 4 Discharging
32267.73 95 4171655 -84838 270 4 Discharging
32277.82 95 4165426 -209961 270 4 Discharging
32287.89 95 4139734 -201568 270 4 Discharging
32297.96 95 4177689 -63629 270 4 Discharging
32308.03 95 4153359 -158538 271 4 Discharging
32318.14 95 4185279 -53558 270 4 Discharging
32328.20 95 4170098 -99487 270 4 Discharging
32338.27 95 4149855 -191803 270 4 Discharging
32348.34 95 4169319 -155792 270 4 Discharging
32358.41 95 4172044 -148010 270 4 Discharging
32368.47 95 4170292 -63629 270 4 Discharging
32378.55 95 4144016 -194244 270 4 Discharging
32388.63 95 4178467 -63018 270 4 Discharging
32398.70 95 4168930 -99639 270 4 Discharging
32408.78 95 4152386 -196380 270 4 Discharging
32418.86 95 4179246 -63781 270 4 Discharging
32428.93 95 4182749 -54473 270 4 Discharging
32439.00 95 4151996 -168457 270 4 Discharging
32449.09 95 4147520 -172729 271 4 Discharging
32459.16 95 4181971 -53863 270 4 Discharging
32469.23 95 4159003 -113678 270 4 Discharging
32479.30 95 4155111 -180816 270 4 Discharging
32489.37 95 4162896 -169067 270 4 Discharging
32499.44 95 4175158 -82244 270 4 Discharging
32509.52 95 4176131 -63629 270 4 Discharging
32519.58 95 4137399 -246734 270 4 Discharging
32529.66 95 4144406 -172729 271 4 Discharging
32539.73 95 4177689 -54321 270 4 Discharging
32549.82 95 4180219 -53558 270 4 Discharging
32559.89 95 4164453 -146789 270 4 Discharging
32569.96 95 4176910 -54016 270 4 Discharging
32580.02 95 4179440 -54168 270 4 Discharging
32590.09 95 4176910 -53863 270 4 Discharging
32600.16 95 4145379 -155334 270 4 Discharging
32610.24 95 4174574 -63934 270 4 Discharging
32620.32 95 4162702 -70037 270 4 Discharging
32630.39 95 4156862 -182495 270 4 Discharging
32640.47 95 4164259 -107727 270 4 Discharging
32650.53 95 4167957 -150146 270 4 Discharging
32660.60 95 4169125 -54016 270 4 Discharging
32670.68 95 4146157 -162048 270 4 Discharging
32680.75 95 4177105 -53558 270 4 Discharging
32690.83 95 4179440 -53405 270 4 Discharging
32700.90 95 4173990 -53710 270 4 Discharging
32710.99 95 4175158 -55236 270 4 Discharging
32721.06 95 4176910 -53405 270 4 Discharging
32731.14 94 4170876 -63324 270 4 Discharging
32741.22 94 4159003 -83618 271 4 Discharging
32751.28 94 4143043 -158081 270 4 Discharging
32761.36 94 4158030 -158691 270 4 Discharging
32771.44 94 4166010 -90942 270 4 Discharging
32781.53 94 4175158 -54321 270 4 Discharging
32791.62 94 4151218 -122070 270 4 Discharging
32801.69 94 4171071 -54168 271 4 Discharging
32811.77 94 4151218 -107879 270 4 Discharging
32821.84 94 4161339 -148010 270 4 Discharging
32831.91 94 4132338 -240478 270 4 Discharging
32842.00 94 4173796 -54321 270 4 Discharging
32852.07 94 4171460 -53710 270 4 Discharging
32862.15 94 4171460 -54016 270 4 Discharging
32872.21 94 4158614 -174255 270 4 Discharging
32882.30 94 4119492 -239410 270 4 Discharging
32892.36 94 4140902 -169067 270 4 Discharging
32902.42 94 4175937 -61798 270 4 Discharging
32912.50 94 4166594 -83160 270 4 Discharging
32922.59 94 4172433 -54473 270 4 Discharging
32932.66 94 4170876 -55999 270 4 Discharging
32942.76 94 4168346 -63629 270 4 Discharging
32952.83 94 4158809 -107727 270 4 Discharging
32962.90 94 4135452 -186157 270 4 Discharging
32972.96 94 4145963 -185852 271 4 Discharging
32983.04 94 4141291 -205688 270 4 Discharging
32993.10 94 4173601 -59509 270 4 Discharging
33003.18 94 4170098 -54168 270 4 Discharging
33013.28 94 4160171 -106201 270 4 Discharging
33023.36 94 4170292 -55542 270 4 Discharging
33033.45 94 4171460 -54473 270 4 Discharging
