# iso_time uptime_s capacity status charge_type vbat_uV ibat_uA temp_dC usb_online usb_imax_uA usb_vbus_uV usb_real_type charge_done chgr_status_reg
2026-08-11T22:27:15Z 7002 99 Discharging N/A 4299336 -51727 256 0 0 1024 Unknown 0 47
2026-08-11T22:28:16Z 7062 99 Discharging N/A 4313545 -99945 256 0 0 0 Unknown 0 47
2026-08-11T22:29:16Z 7122 99 Discharging N/A 4314129 -79956 255 0 0 3104 Unknown 0 47
2026-08-11T22:30:16Z 7183 99 Discharging N/A 4319968 -94451 255 0 0 1024 Unknown 0 47
2026-08-11T22:31:17Z 7243 99 Discharging N/A 4332230 -45776 255 0 0 1024 Unknown 0 47
2026-08-11T22:32:17Z 7303 99 Discharging N/A 4327169 -53863 255 0 0 4144 Unknown 0 47
2026-08-11T22:33:17Z 7364 99 Discharging N/A 4332230 -50048 254 0 0 4144 Unknown 0 47
2026-08-11T22:34:17Z 7424 99 Discharging N/A 4293302 -77514 254 0 0 1024 Unknown 0 47
2026-08-11T22:35:18Z 7484 98 Discharging N/A 4306538 -38452 254 0 0 2064 Unknown 0 47
2026-08-11T22:36:18Z 7544 98 Discharging N/A 4303618 -172729 254 0 0 1024 Unknown 0 47
2026-08-11T22:37:18Z 7605 98 Discharging N/A 4312182 -131073 253 0 0 2064 Unknown 0 47
2026-08-11T22:38:19Z 7665 98 Discharging N/A 4299920 -122528 253 0 0 1024 Unknown 0 47
2026-08-11T22:39:19Z 7725 98 Discharging N/A 4310431 -92315 252 0 0 3104 Unknown 0 47
2026-08-11T22:40:19Z 7786 98 Discharging N/A 4301672 -92315 252 0 0 1024 Unknown 0 47
2026-08-11T22:41:19Z 7846 98 Discharging N/A 4302645 -125579 251 0 0 2064 Unknown 0 47
2026-08-11T22:42:20Z 7906 98 Discharging N/A 4292135 -93383 252 0 0 1024 Unknown 0 47
2026-08-11T22:43:20Z 7966 98 Discharging N/A 4329505 -25634 251 0 0 5184 Unknown 0 47
2026-08-11T22:44:20Z 8027 98 Discharging N/A 4307900 -170288 251 0 0 0 Unknown 0 47
2026-08-11T22:45:21Z 8087 98 Discharging N/A 4322887 -52795 250 0 0 1024 Unknown 0 47
