== ut-callwatch2 start 2026-09-05 06:28:41  (600s)
== card:    iccid=...3899 mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
06:31:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:31:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:32:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
