== ut-callwatch2 start 2026-09-05 04:58:30  (900s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:00:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:01:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:02:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:03:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:03:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:03:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:03:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:03:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
