== ut-callwatch2 start 2026-09-05 05:14:20  (600s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:18:04 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:05 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:07 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:08 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:09 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:10 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:11 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:12 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:13 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:15 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:16 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:17 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:18 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:19 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:20 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:21 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:23 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:24 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:25 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:26 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:27 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
