# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
344 53 4267 25 0 0 0x1 0 0 0 0x0 7 6 94 0x0 20 20 85 0x1 
346 83 4258 9 0 0 0x1 0 0 0 0x0 5 6 84 0x1 20 20 82 0x0 
348 176 4233 21 0 0 0x1 0 0 0 0x0 2 2 23 0x1 20 20 85 0x0 
350 227 4233 26 0 0 0x1 0 0 0 0x0 7 7 75 0x0 20 20 85 0x0 
352 231 4230 34 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 85 0x0 
354 107 4249 39 0 0 0x1 0 0 0 0x0 6 6 67 0x0 7 7 22 0x1 
356 53 4261 16 0 0 0x1 0 0 0 0x0 7 7 93 0x0 8 8 18 0x1 
358 193 4230 17 0 0 0x1 0 0 0 0x0 1 1 28 0x1 16 16 61 0x0 
360 130 4259 14 0 0 0x1 0 0 0 0x0 6 6 65 0x0 20 20 86 0x0 
362 95 4260 27 0 0 0x1 0 0 0 0x0 6 6 98 0x1 21 21 86 0x0 
364 172 4242 35 0 0 0x1 0 0 0 0x0 4 4 39 0x0 20 20 85 0x0 
366 66 4265 7 0 0 0x1 0 0 0 0x0 6 6 97 0x1 19 19 85 0x1 
368 189 4233 14 0 0 0x1 0 0 0 0x0 4 4 53 0x1 21 21 84 0x1 
370 147 4248 30 0 0 0x1 0 0 0 0x0 6 6 60 0x0 20 20 82 0x0 
372 53 4265 26 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 84 0x0 
374 65 4258 18 0 0 0x1 0 0 0 0x0 4 4 37 0x0 21 21 85 0x0 
376 53 4265 15 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 86 0x0 
378 208 4245 31 0 0 0x1 0 0 0 0x0 6 6 93 0x1 19 19 85 0x1 
# window_from=2  # samples before this mark saw a lit panel
