# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
164 65 4262 27 0 0 0x1 0 0 0 0x0 7 7 78 0x0 20 20 85 0x1 
166 197 4224 9 0 0 0x1 0 0 0 0x0 3 3 54 0x1 20 20 83 0x0 
168 129 4257 25 0 0 0x1 0 0 0 0x0 4 4 52 0x1 20 20 87 0x0 
170 147 4246 28 0 0 0x1 0 0 0 0x0 7 7 79 0x0 21 21 85 0x0 
172 184 4224 14 0 0 0x1 0 0 0 0x0 3 3 37 0x0 20 20 84 0x0 
174 96 4253 36 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 84 0x0 
176 209 4229 34 0 0 0x1 0 0 0 0x0 6 6 80 0x1 19 19 85 0x1 
178 134 4246 33 0 0 0x1 0 0 0 0x0 4 4 40 0x0 19 19 75 0x0 
180 57 4255 30 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 87 0x0 
182 224 4218 25 0 0 0x1 0 0 0 0x0 4 4 53 0x1 21 21 85 0x0 
184 53 4264 31 0 0 0x1 0 0 0 0x0 6 6 66 0x0 19 19 80 0x0 
186 105 4250 31 0 0 0x1 0 0 0 0x0 6 6 81 0x0 17 17 73 0x1 
188 54 4256 27 0 0 0x1 0 0 0 0x0 4 4 50 0x0 20 20 82 0x0 
190 272 4231 26 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 87 0x0 
192 109 4249 32 0 0 0x1 0 0 0 0x0 5 5 65 0x1 10 10 35 0x1 
194 109 4247 35 0 0 0x1 0 0 0 0x0 4 4 39 0x0 9 9 19 0x1 
196 52 4262 24 0 0 0x1 0 0 0 0x0 6 6 78 0x0 12 12 48 0x1 
198 174 4226 20 0 0 0x1 0 0 0 0x0 4 4 68 0x1 20 20 82 0x0 
200 52 4262 29 0 0 0x1 0 0 0 0x0 5 5 43 0x0 20 20 85 0x0 
202 62 4260 28 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 86 0x0 
204 259 4207 20 0 0 0x1 0 0 0 0x0 3 3 50 0x1 20 20 85 0x0 
206 80 4263 27 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 87 0x1 
208 60 4261 22 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 82 0x0 
210 53 4261 12 0 0 0x1 0 0 0 0x0 3 3 53 0x1 21 21 83 0x0 
212 53 4262 19 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 86 0x0 
214 158 4230 35 0 0 0x1 0 0 0 0x0 4 4 56 0x1 20 20 86 0x0 
216 53 4263 31 0 0 0x1 0 0 0 0x0 7 7 72 0x0 20 20 83 0x0 
218 161 4237 30 0 0 0x1 0 0 0 0x0 6 6 80 0x0 19 19 81 0x1 
220 136 4251 30 0 0 0x1 0 0 0 0x0 3 3 31 0x0 20 20 81 0x0 
222 131 4241 20 0 0 0x1 0 0 0 0x0 7 7 92 0x0 21 21 85 0x0 
224 53 4264 31 0 0 0x1 0 0 0 0x0 5 5 80 0x1 20 20 87 0x0 
226 133 4239 20 0 0 0x1 0 0 0 0x0 4 4 39 0x0 9 9 32 0x1 
228 105 4248 25 0 0 0x1 0 0 0 0x0 7 7 93 0x0 8 8 19 0x1 
230 213 4214 33 0 0 0x1 0 0 0 0x0 3 3 55 0x1 15 15 50 0x0 
232 184 4236 32 0 0 0x1 0 0 0 0x0 6 6 70 0x0 20 20 85 0x0 
234 53 4263 31 0 0 0x1 0 0 0 0x0 7 7 98 0x0 20 20 81 0x0 
236 118 4237 23 0 0 0x1 0 0 0 0x0 3 3 38 0x0 20 20 85 0x0 
238 52 4263 29 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 85 0x0 
240 119 4245 26 0 0 0x1 0 0 0 0x0 6 6 94 0x1 19 19 78 0x1 
242 53 4262 31 0 0 0x1 0 0 0 0x0 4 4 42 0x0 20 20 80 0x0 
244 121 4247 32 0 0 0x1 0 0 0 0x0 7 7 74 0x0 18 18 80 0x1 
246 161 4224 22 0 0 0x1 0 0 0 0x0 4 4 66 0x1 21 21 80 0x0 
248 143 4244 27 0 0 0x1 0 0 0 0x0 6 6 65 0x0 20 20 85 0x0 
250 76 4251 27 0 0 0x1 0 0 0 0x0 6 6 80 0x0 19 19 84 0x1 
252 54 4255 27 0 0 0x1 0 0 0 0x0 4 4 52 0x0 21 21 83 0x1 
254 69 4258 20 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 82 0x0 
256 88 4254 13 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 87 0x0 
258 56 4260 31 0 0 0x1 0 0 0 0x0 4 4 52 0x0 20 20 86 0x0 
260 113 4247 37 0 0 0x1 0 0 0 0x0 6 6 79 0x0 9 9 30 0x1 
262 209 4215 16 0 0 0x1 0 0 0 0x0 4 4 66 0x1 6 6 15 0x1 
264 211 4233 31 0 0 0x1 0 0 0 0x0 5 5 48 0x0 17 16 61 0x0 
266 52 4262 26 0 0 0x1 0 0 0 0x0 6 6 80 0x0 19 20 85 0x1 
268 149 4230 40 0 0 0x1 0 0 0 0x0 3 3 50 0x1 20 20 82 0x0 
270 62 4258 18 0 0 0x1 0 0 0 0x0 7 7 79 0x0 21 21 85 0x0 
272 165 4233 26 0 0 0x1 0 0 0 0x0 6 6 72 0x1 20 20 86 0x0 
274 121 4238 32 0 0 0x1 0 0 0 0x0 4 4 45 0x1 20 20 86 0x0 
276 53 4244 34 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 84 0x0 
278 172 4231 32 0 0 0x1 0 0 0 0x0 3 3 53 0x1 19 19 84 0x1 
280 104 4251 21 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 82 0x0 
282 180 4222 38 0 0 0x1 0 0 0 0x0 6 6 73 0x1 21 21 84 0x0 
284 107 4241 22 0 0 0x1 0 0 0 0x0 3 3 16 0x0 20 20 86 0x0 
286 51 4260 20 0 0 0x1 0 0 0 0x0 7 7 93 0x0 20 20 86 0x0 
288 283 4215 37 0 0 0x1 0 0 0 0x0 4 4 66 0x1 19 19 86 0x1 
290 54 4259 30 0 0 0x1 0 0 0 0x0 5 5 65 0x1 20 20 83 0x1 
292 271 4226 26 0 0 0x1 0 0 0 0x0 8 8 72 0x0 20 20 80 0x0 
294 305 4193 33 0 0 0x1 0 0 0 0x0 0 0 13 0x1 8 8 26 0x1 
296 105 4240 19 0 0 0x1 0 0 0 0x0 5 5 63 0x1 5 5 10 0x1 
298 53 4260 41 0 0 0x1 0 0 0 0x0 6 6 80 0x1 14 14 48 0x0 
300 126 4245 25 0 0 0x1 0 0 0 0x0 4 4 35 0x0 20 20 84 0x1 
302 54 4260 30 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 79 0x0 
304 199 4221 30 0 0 0x1 0 0 0 0x0 4 4 53 0x1 20 20 85 0x0 
306 145 4242 29 0 0 0x1 0 0 0 0x0 6 6 65 0x0 20 20 83 0x0 
