== ut-callwatch2 start 2026-09-05 07:13:54  (900s)
== card:    iccid=...6542 mcc=216 mnc=70
== network: name= mcc= mnc=
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
07:15:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:46 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:47 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:16:48 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:50 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:51 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
