# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
226 54 4301 36 0 0 0x1 0 0 0 0x0 6 6 94 0x1 20 20 85 0x0 
228 68 4302 31 0 0 0x1 0 0 0 0x0 8 8 72 0x0 19 19 82 0x0 
230 58 4293 16 0 0 0x1 0 0 0 0x0 3 3 40 0x0 21 21 79 0x0 
232 191 4271 18 0 0 0x1 0 0 0 0x0 7 7 93 0x0 19 19 80 0x0 
234 181 4275 23 0 0 0x1 0 0 0 0x0 4 4 67 0x1 20 20 87 0x0 
236 81 4291 26 0 0 0x1 0 0 0 0x0 5 5 50 0x0 19 19 80 0x0 
238 82 4298 16 0 0 0x1 0 0 0 0x0 7 7 98 0x0 17 17 75 0x1 
240 54 4289 38 0 0 0x1 0 0 0 0x0 3 3 42 0x0 16 16 67 0x1 
242 98 4283 31 0 0 0x1 0 0 0 0x0 6 6 82 0x0 21 21 78 0x0 
244 104 4286 30 0 0 0x1 0 0 0 0x0 7 7 98 0x0 9 9 27 0x1 
246 158 4264 11 0 0 0x1 0 0 0 0x0 1 1 13 0x0 9 9 18 0x0 
248 66 4289 22 0 0 0x1 0 0 0 0x0 6 6 79 0x0 16 16 60 0x0 
250 263 4247 26 0 0 0x1 0 0 0 0x0 5 5 72 0x1 19 19 84 0x1 
252 53 4298 23 0 0 0x1 0 0 0 0x0 6 6 56 0x0 20 20 82 0x0 
254 74 4296 32 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 83 0x0 
256 62 4287 13 0 0 0x1 0 0 0 0x0 4 4 53 0x0 16 16 69 0x0 
258 53 4298 22 0 0 0x1 0 0 0 0x0 6 6 80 0x0 14 14 61 0x0 
260 83 4298 29 0 0 0x1 0 0 0 0x0 6 6 92 0x1 21 20 84 0x0 
262 54 4297 28 0 0 0x1 0 0 0 0x0 4 4 38 0x0 19 20 88 0x1 
264 112 4285 24 0 0 0x1 0 0 0 0x0 6 6 81 0x0 20 20 82 0x0 
266 157 4266 22 0 0 0x1 0 0 0 0x0 3 3 56 0x1 20 20 87 0x0 
268 95 4291 30 0 0 0x1 0 0 0 0x0 6 6 62 0x0 19 19 84 0x1 
270 104 4289 25 0 0 0x1 0 0 0 0x0 6 6 84 0x0 21 21 83 0x0 
272 100 4284 27 0 0 0x1 0 0 0 0x0 2 2 41 0x1 21 21 85 0x0 
274 53 4299 27 0 0 0x1 0 0 0 0x0 7 7 79 0x0 19 19 87 0x1 
276 185 4265 30 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 86 0x1 
278 230 4262 28 0 0 0x1 0 0 0 0x0 6 6 57 0x0 9 9 22 0x1 
280 137 4264 17 0 0 0x1 0 0 0 0x0 6 6 80 0x0 9 9 20 0x1 
282 59 4283 17 0 0 0x1 0 0 0 0x0 3 3 41 0x0 16 16 61 0x0 
284 53 4297 25 0 0 0x1 0 0 0 0x0 7 7 97 0x0 20 20 84 0x0 
286 211 4265 30 0 0 0x1 0 0 0 0x0 4 4 69 0x1 20 20 85 0x0 
288 142 4287 29 0 0 0x1 0 0 0 0x0 4 4 31 0x0 19 19 87 0x1 
290 58 4293 16 0 0 0x1 0 0 0 0x0 7 7 98 0x0 21 21 80 0x0 
292 170 4263 27 0 0 0x1 0 0 0 0x0 3 3 53 0x1 21 21 86 0x0 
294 53 4297 34 0 0 0x1 0 0 0 0x0 6 6 77 0x1 20 20 87 0x0 
296 178 4261 23 0 0 0x1 0 0 0 0x0 5 5 66 0x1 20 20 86 0x0 
298 74 4292 42 0 0 0x1 0 0 0 0x0 3 3 18 0x1 20 20 83 0x0 
300 62 4292 17 0 0 0x1 0 0 0 0x0 7 7 84 0x1 19 19 84 0x1 
302 264 4234 37 0 0 0x1 0 0 0 0x0 5 5 65 0x1 13 13 43 0x1 
304 52 4296 28 0 0 0x1 0 0 0 0x0 5 5 51 0x0 20 20 81 0x0 
306 178 4258 30 0 0 0x1 0 0 0 0x0 5 5 79 0x1 13 13 51 0x0 
308 188 4260 33 0 0 0x1 0 0 0 0x0 3 3 19 0x0 13 13 50 0x0 
