# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns  state
# ☠️ state=down with awake_ms=1000 means the master was ASLEEP THE WHOLE SECOND
#    and the edge-updated counter simply did not advance - NOT 100% awake.
263.5 431.8 598.2 1.030 2 up+cores
264.5 809.8 230.2 1.040 2 up+cores
265.6 428.2 601.8 1.030 4 up
266.6 432.0 598.0 1.030 3 up
267.6 439.1 600.9 1.040 3 up
268.7 252.6 777.4 1.030 3 up+cores
269.7 979.9 60.1 1.040 2 up
270.7 439.3 600.7 1.040 3 up
271.8 449.6 580.4 1.030 3 up
272.8 231.6 798.4 1.030 3 up+cores
273.8 429.0 601.0 1.030 3 up+cores
274.9 829.4 200.6 1.030 1 up+cores
275.9 639.4 400.6 1.040 3 up
277.0 223.3 816.7 1.040 3 up+cores
278.0 401.1 628.9 1.030 3 up+cores
279.0 383.8 646.2 1.030 4 up
280.0 612.3 427.7 1.040 1 up+cores
281.1 757.7 282.3 1.040 3 up
282.1 173.9 856.1 1.030 3 up+cores
283.2 398.5 641.5 1.040 4 up
284.2 389.1 640.9 1.030 3 up
285.2 405.2 624.8 1.030 2 up+cores
286.2 816.6 213.4 1.030 1 up+cores
287.3 456.1 583.9 1.040 3 up+cores
288.3 426.6 613.4 1.040 4 up
289.4 393.9 646.1 1.040 3 up
290.4 177.2 852.8 1.030 3 up+cores
291.4 957.1 72.9 1.030 1 up+cores
292.5 395.3 644.7 1.040 4 up
293.5 385.2 644.8 1.030 3 up
294.5 415.0 625.0 1.040 3 up
295.6 170.0 860.0 1.030 3 up+cores
296.6 818.0 212.0 1.030 1 up+cores
297.6 568.7 471.3 1.040 4 up
298.7 429.1 600.9 1.030 3 up
299.7 238.6 801.4 1.040 4 up+cores
300.7 446.1 583.9 1.030 4 up
301.8 632.4 397.6 1.030 1 up+cores
302.8 780.8 259.2 1.040 3 up
303.8 244.4 785.6 1.030 3 up+cores
