# [qrtr://0] Successfully got RF band info
# Band Information:
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# Band Information (Extended):
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# [qrtr://0] Successfully got serving system:
# 	Registration state: 'registered'
# 	CS: 'attached'
# 	PS: 'attached'
# 	Selected network: '3gpp'
# 	Radio interfaces: '1'
# 		[0]: 'lte'
# 	Roaming status: 'off'
# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns
196.6 1020.0 0.0 1.020 3
197.6 1020.0 0.0 1.020 3
198.6 1030.0 0.0 1.030 3
199.6 1020.0 0.0 1.020 1
200.7 1020.0 0.0 1.020 3
201.7 1030.0 0.0 1.030 3
202.7 1030.0 0.0 1.030 3
203.8 1030.0 0.0 1.030 3
204.8 1020.0 0.0 1.020 2
205.8 1030.0 0.0 1.030 2
206.8 1020.0 0.0 1.020 3
207.8 1020.0 0.0 1.020 3
208.9 1020.0 0.0 1.020 3
209.9 1030.0 0.0 1.030 3
210.9 1020.0 0.0 1.020 1
211.9 1030.0 0.0 1.030 3
212.9 1010.0 0.0 1.010 3
214.0 1030.0 0.0 1.030 3
215.0 1020.0 0.0 1.020 4
216.0 1020.0 0.0 1.020 0
217.0 1020.0 0.0 1.020 3
218.1 1020.0 0.0 1.020 3
219.1 1020.0 0.0 1.020 3
220.1 1030.0 0.0 1.030 4
221.1 1030.0 0.0 1.030 1
222.2 1020.0 0.0 1.020 3
223.2 1030.0 0.0 1.030 3
224.2 1020.0 0.0 1.020 3
225.2 1030.0 0.0 1.030 4
226.3 1030.0 0.0 1.030 2
227.3 1020.0 0.0 1.020 2
228.3 1030.0 0.0 1.030 3
229.3 1020.0 0.0 1.020 3
230.4 1020.0 0.0 1.020 4
231.4 1020.0 0.0 1.020 3
232.4 1030.0 0.0 1.030 1
233.4 1020.0 0.0 1.020 3
234.5 1030.0 0.0 1.030 3
235.5 1020.0 0.0 1.020 4
236.5 1030.0 0.0 1.030 3
237.5 1020.0 0.0 1.020 1
238.5 1020.0 0.0 1.020 3
239.6 1020.0 0.0 1.020 3
240.6 1030.0 0.0 1.030 4
241.6 1030.0 0.0 1.030 3
242.6 1020.0 0.0 1.020 1
243.7 1020.0 0.0 1.020 2
244.7 1030.0 0.0 1.030 3
245.7 1020.0 0.0 1.020 4
246.7 1020.0 0.0 1.020 3
247.8 1020.0 0.0 1.020 2
248.8 1030.0 0.0 1.030 2
249.8 1030.0 0.0 1.030 3
250.8 1020.0 0.0 1.020 4
251.9 1020.0 0.0 1.020 3
252.9 1030.0 0.0 1.030 3
253.9 1020.0 0.0 1.020 1
254.9 1020.0 0.0 1.020 3
256.0 1030.0 0.0 1.030 4
257.0 1020.0 0.0 1.020 3
258.0 1030.0 0.0 1.030 3
259.0 1030.0 0.0 1.030 1
260.1 1020.0 0.0 1.020 0
261.1 1020.0 0.0 1.020 3
262.1 1020.0 0.0 1.020 2
263.1 1020.0 0.0 1.020 3
264.1 1030.0 0.0 1.030 2
265.2 1020.0 0.0 1.020 2
266.2 1030.0 0.0 1.030 4
267.2 1020.0 0.0 1.020 0
268.2 1020.0 0.0 1.020 2
269.3 1030.0 0.0 1.030 3
270.3 1010.0 0.0 1.010 1
271.3 1030.0 0.0 1.030 4
272.3 1020.0 0.0 1.020 3
273.4 1030.0 0.0 1.030 3
274.4 1030.0 0.0 1.030 3
275.4 1020.0 0.0 1.020 1
276.4 1030.0 0.0 1.030 4
277.5 1020.0 0.0 1.020 1
278.5 1020.0 0.0 1.020 3
279.5 1030.0 0.0 1.030 3
280.5 1020.0 0.0 1.020 2
281.6 1030.0 0.0 1.030 2
282.6 1030.0 0.0 1.030 3
283.6 1030.0 0.0 1.030 3
284.6 1020.0 0.0 1.020 3
285.7 1020.0 0.0 1.020 3
286.7 1020.0 0.0 1.020 2
287.7 1030.0 0.0 1.030 1
288.7 1020.0 0.0 1.020 3
289.8 1030.0 0.0 1.030 3
290.8 1020.0 0.0 1.020 3
291.8 1030.0 0.0 1.030 1
292.8 1020.0 0.0 1.020 4
293.9 1030.0 0.0 1.030 3
294.9 1020.0 0.0 1.020 3
295.9 1020.0 0.0 1.020 3
296.9 1030.0 0.0 1.030 2
297.9 1020.0 0.0 1.020 1
299.0 1020.0 0.0 1.020 3
300.0 1020.0 0.0 1.020 3
301.0 1030.0 0.0 1.030 3
302.0 1020.0 0.0 1.020 3
303.1 1020.0 0.0 1.020 2
304.1 1030.0 0.0 1.030 3
305.1 1020.0 0.0 1.020 3
